Company;Product;TypeName;Inches;Cpu;Ram;Memory;Gpu;Price
Apple;MacBook Pro;Ultrabook;13.3;Intel Core i5 2.3GHz;8GB;128GB SSD;Intel Iris Plus Graphics 640;120572,10
Apple;Macbook Air;Ultrabook;13.3;Intel Core i5 1.8GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;80904,60
HP;250 G6;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;51750,00
Apple;MacBook Pro;Ultrabook;15.4;Intel Core i7 2.7GHz;16GB;512GB SSD;AMD Radeon Pro 455;228370,50
Apple;MacBook Pro;Ultrabook;13.3;Intel Core i5 3.1GHz;8GB;256GB SSD;Intel Iris Plus Graphics 650;162324,00
Acer;Aspire 3;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;500GB HDD;AMD Radeon R5;36000,00
Apple;MacBook Pro;Ultrabook;15.4;Intel Core i7 2.2GHz;16GB;256GB Flash Storage;Intel Iris Pro Graphics;192597,30
Apple;Macbook Air;Ultrabook;13.3;Intel Core i5 1.8GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;104283,00
Asus;ZenBook UX430UN;Ultrabook;14;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce MX150;134550,00
Acer;Swift 3;Ultrabook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;69300,00
HP;250 G6;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;35451,00
HP;250 G6;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;31049,10
Apple;MacBook Pro;Ultrabook;15.4;Intel Core i7 2.8GHz;16GB;256GB SSD;AMD Radeon Pro 555;219597,30
Dell;Inspiron 3567;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;44901,00
Apple;"MacBook 12""";Ultrabook;12;Intel Core M m3 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;113616,00
Apple;MacBook Pro;Ultrabook;13.3;Intel Core i5 2.3GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;136669,50
Dell;Inspiron 3567;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R5 M430;67050,00
Apple;MacBook Pro;Ultrabook;15.4;Intel Core i7 2.9GHz;16GB;512GB SSD;AMD Radeon Pro 560;257220,00
Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;44910,00
Dell;XPS 13;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD;Intel UHD Graphics 620;88110,00
Asus;Vivobook E200HA;Netbook;11.6;Intel Atom x5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;17271,00
Lenovo;Legion Y520-15IKBN;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;89910,00
HP;255 G6;Notebook;15.6;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;23220,00
Dell;Inspiron 5379;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;73710,00
HP;15-BS101nv (i7-8550U/8GB/256GB/FHD/W10);Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 620;59310,00
Dell;Inspiron 3567;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;37677,60
Apple;MacBook Air;Ultrabook;13.3;Intel Core i5 1.6GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;98910,00
Dell;Inspiron 5570;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 530;72000,00
Dell;Latitude 5590;Ultrabook;15.6;Intel Core i7 8650U 1.9GHz;8GB;256GB SSD +  256GB SSD;Intel UHD Graphics 620;116820,00
HP;ProBook 470;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Nvidia GeForce 930MX;80640,00
Chuwi;"LapBook 15.6""";Notebook;15.6;Intel Atom x5-Z8300 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics;22049,10
Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);Notebook;14;AMD E-Series E2-6110 1.5GHz;2GB;32GB Flash Storage;AMD Radeon R2;17910,00
